,año,mes,festividad,nom_comuna,conducta,cantidad
63,2023,2,Domingo,Oriental,HURTO A ENTIDADES COMERCIALES,1.75
64,2023,2,Domingo,Morrorico,LESIONES PERSONALES,3.5
65,2023,2,Domingo,Centro,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),3.75
66,2023,2,Domingo,Lagos del Cacique,VIOLENCIA INTRAFAMILIAR,1.0
67,2023,2,Domingo,Mutis,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2.3333333333333335
68,2023,2,Dia de San Valentin,Norte,LESIONES PERSONALES,6.0
69,2023,2,Dia de San Valentin,Nor Oriental,LESIONES PERSONALES,5.0
70,2023,2,Dia de San Valentin,San Francisco,HURTO A ENTIDADES COMERCIALES,1.6
71,2023,2,Dia de San Valentin,Occidental,LESIONES PERSONALES,2.5
72,2023,2,Dia de San Valentin,García Rovira,VIOLENCIA INTRAFAMILIAR,2.5
73,2023,2,Dia de San Valentin,La Concordia,VIOLENCIA INTRAFAMILIAR,2.5
74,2023,2,Dia de San Valentin,La Ciudadela,HURTO A PERSONAS,1.0
75,2023,2,Dia de San Valentin,Sur Occidente,LESIONES PERSONALES,3.0
76,2023,2,Dia de San Valentin,La Pedregosa,LESIONES PERSONALES,3.0
77,2023,2,Dia de San Valentin,Provenza,LESIONES PERSONALES,2.0
78,2023,2,Dia de San Valentin,Sur,LESIONES PERSONALES,3.0
79,2023,2,Dia de San Valentin,Cabecera del Llano,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),3.0
80,2023,2,Dia de San Valentin,Oriental,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2.0
81,2023,2,Dia de San Valentin,Morrorico,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2.0
82,2023,2,Dia de San Valentin,Centro,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),3.0
83,2023,2,Dia de San Valentin,Lagos del Cacique,HURTO A PERSONAS,1.0
84,2023,2,Dia de San Valentin,Mutis,HURTO A PERSONAS,1.0
85,2023,3,Domingo,Norte,VIOLENCIA INTRAFAMILIAR,4.5
86,2023,3,Domingo,Nor Oriental,VIOLENCIA INTRAFAMILIAR,6.0
87,2023,3,Domingo,San Francisco,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),5.0
88,2023,3,Domingo,Occidental,LESIONES PERSONALES,5.0
89,2023,3,Domingo,García Rovira,LESIONES PERSONALES,8.0
90,2023,3,Domingo,La Concordia,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),3.5
91,2023,3,Domingo,La Ciudadela,HURTO A RESIDENCIAS,1.0
92,2023,3,Domingo,Sur Occidente,LESIONES PERSONALES,11.0
93,2023,3,Domingo,La Pedregosa,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2.0
94,2023,3,Domingo,Provenza,VIOLENCIA INTRAFAMILIAR,4.25
95,2023,3,Domingo,Sur,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2.25
96,2023,3,Domingo,Cabecera del Llano,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),4.666666666666667
97,2023,3,Domingo,Oriental,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),5.5
98,2023,3,Domingo,Morrorico,VIOLENCIA INTRAFAMILIAR,1.5
99,2023,3,Domingo,Centro,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),4.75
100,2023,3,Domingo,Lagos del Cacique,VIOLENCIA INTRAFAMILIAR,1.0
101,2023,3,Domingo,Mutis,HURTO A PERSONAS,1.0
102,2023,3,Dia Internacional de la Mujer,Norte,LESIONES PERSONALES,3.0
103,2023,3,Dia Internacional de la Mujer,Nor Oriental,HURTO A PERSONAS,1.0
104,2023,3,Dia Internacional de la Mujer,San Francisco,VIOLENCIA INTRAFAMILIAR,3.0
105,2023,3,Dia Internacional de la Mujer,Occidental,HURTO A PERSONAS,3.0
106,2023,3,Dia Internacional de la Mujer,García Rovira,LESIONES PERSONALES,2.0
107,2023,3,Dia Internacional de la Mujer,La Concordia,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1.0
108,2023,3,Dia Internacional de la Mujer,La Ciudadela,HURTO A PERSONAS,1.0
109,2023,3,Dia Internacional de la Mujer,Sur Occidente,HURTO A PERSONAS,2.0
110,2023,3,Dia Internacional de la Mujer,La Pedregosa,HURTO A PERSONAS,2.0
111,2023,3,Dia Internacional de la Mujer,Provenza,HURTO A PERSONAS,6.0
112,2023,3,Dia Internacional de la Mujer,Sur,HURTO A PERSONAS,6.0
113,2023,3,Dia Internacional de la Mujer,Cabecera del Llano,HURTO A PERSONAS,6.0
114,2023,3,Dia Internacional de la Mujer,Oriental,HURTO A PERSONAS,5.0
115,2023,3,Dia Internacional de la Mujer,Morrorico,HURTO A PERSONAS,5.0
116,2023,3,Dia Internacional de la Mujer,Centro,LESIONES PERSONALES,3.5
117,2023,3,Dia Internacional de la Mujer,Lagos del Cacique,HURTO A ENTIDADES COMERCIALES,1.0
118,2023,3,Dia Internacional de la Mujer,Mutis,HURTO A ENTIDADES COMERCIALES,1.0
119,2023,3,Dia de los Amigos,Norte,VIOLENCIA INTRAFAMILIAR,1.5
120,2023,3,Dia de los Amigos,Nor Oriental,HURTO A PERSONAS,2.0
121,2023,3,Dia de los Amigos,San Francisco,VIOLENCIA INTRAFAMILIAR,3.0
122,2023,3,Dia de los Amigos,Occidental,HURTO A PERSONAS,1.0
123,2023,3,Dia de los Amigos,García Rovira,HURTO A PERSONAS,2.0
124,2023,3,Dia de los Amigos,La Concordia,VIOLENCIA INTRAFAMILIAR,1.5
125,2023,3,Dia de los Amigos,La Ciudadela,HURTO A PERSONAS,1.0
126,2023,3,Dia de los Amigos,Sur Occidente,LESIONES PERSONALES,1.0
127,2023,3,Dia de los Amigos,La Pedregosa,HURTO A PERSONAS,2.0
128,2023,3,Dia de los Amigos,Provenza,VIOLENCIA INTRAFAMILIAR,1.0
129,2023,3,Dia de los Amigos,Sur,HURTO A ENTIDADES COMERCIALES,1.0
130,2023,3,Dia de los Amigos,Cabecera del Llano,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1.5
131,2023,3,Dia de los Amigos,Oriental,HURTO A PERSONAS,3.0
132,2023,3,Dia de los Amigos,Morrorico,HURTO A PERSONAS,3.0
133,2023,3,Dia de los Amigos,Centro,HURTO A PERSONAS,4.0
134,2023,3,Dia de los Amigos,Lagos del Cacique,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1.0
135,2023,3,Dia de los Amigos,Mutis,LESIONES PERSONALES,2.5
136,2023,3,Dia del Hombre,Norte,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2.0
137,2023,3,Dia del Hombre,Nor Oriental,HURTO A PERSONAS,2.0
138,2023,3,Dia del Hombre,San Francisco,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),3.6666666666666665
139,2023,3,Dia del Hombre,Occidental,HURTO A MOTOCICLETAS,1.0
140,2023,3,Dia del Hombre,García Rovira,LESIONES PERSONALES,2.5
141,2023,3,Dia del Hombre,La Concordia,VIOLENCIA INTRAFAMILIAR,2.0
142,2023,3,Dia del Hombre,La Ciudadela,HURTO A PERSONAS,1.0
143,2023,3,Dia del Hombre,Sur Occidente,HURTO A PERSONAS,2.0
144,2023,3,Dia del Hombre,La Pedregosa,HURTO A PERSONAS,2.0
145,2023,3,Dia del Hombre,Provenza,HURTO A RESIDENCIAS,3.0
146,2023,3,Dia del Hombre,Sur,LESIONES PERSONALES,1.5
147,2023,3,Dia del Hombre,Cabecera del Llano,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),3.0
148,2023,3,Dia del Hombre,Oriental,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2.0
149,2023,3,Dia del Hombre,Morrorico,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2.0
150,2023,3,Dia del Hombre,Centro,HURTO A PERSONAS,2.0
151,2023,3,Dia del Hombre,Lagos del Cacique,HURTO A PERSONAS,1.0
152,2023,3,Dia del Hombre,Mutis,HURTO A PERSONAS,1.0
153,2023,3,San Jose,Norte,HURTO A MOTOCICLETAS,1.0
154,2023,3,San Jose,Nor Oriental,HURTO A MOTOCICLETAS,1.0
155,2023,3,San Jose,San Francisco,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2.0
156,2023,3,San Jose,Occidental,HURTO A PERSONAS,1.0
157,2023,3,San Jose,García Rovira,LESIONES PERSONALES,2.0
158,2023,3,San Jose,La Concordia,HURTO A PERSONAS,1.0
159,2023,3,San Jose,La Ciudadela,HURTO A PERSONAS,1.0
160,2023,3,San Jose,Sur Occidente,HURTO A PERSONAS,2.0
161,2023,3,San Jose,La Pedregosa,HURTO A PERSONAS,2.0
162,2023,3,San Jose,Provenza,HURTO A PERSONAS,2.0
163,2023,3,San Jose,Sur,LESIONES PERSONALES,3.0
164,2023,3,San Jose,Cabecera del Llano,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2.5
165,2023,3,San Jose,Oriental,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1.3333333333333333
166,2023,3,San Jose,Morrorico,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1.3333333333333333
167,2023,3,San Jose,Centro,VIOLENCIA INTRAFAMILIAR,1.5
168,2023,3,San Jose,Lagos del Cacique,HURTO A PERSONAS,1.0
169,2023,3,San Jose,Mutis,HURTO A PERSONAS,1.0
170,2023,4,Domingo de Ramos,Norte,LESIONES PERSONALES,2.0
171,2023,4,Domingo de Ramos,Nor Oriental,HURTO A ENTIDADES COMERCIALES,4.0
172,2023,4,Domingo de Ramos,San Francisco,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),2.75
173,2023,4,Domingo de Ramos,Occidental,LESIONES PERSONALES,3.0
174,2023,4,Domingo de Ramos,García Rovira,HURTO A PERSONAS,6.0
175,2023,4,Domingo de Ramos,La Concordia,HURTO A PERSONAS,2.0
176,2023,4,Domingo de Ramos,La Ciudadela,LESIONES PERSONALES,7.0
177,2023,4,Domingo de Ramos,Sur Occidente,LESIONES PERSONALES,7.0
178,2023,4,Domingo de Ramos,La Pedregosa,HURTO A PERSONAS,1.0
179,2023,4,Domingo de Ramos,Provenza,VIOLENCIA INTRAFAMILIAR,2.0
180,2023,4,Domingo de Ramos,Sur,LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO ),1.3333333333333333
181,2023,4,Domingo de Ramos,Cabecera del Llano,HURTO A PERSONAS,4.0
182,2023,4,Domingo de Ramos,Oriental,LESIONES PERSONALES,1.5
183,2023,4,Domingo de Ramos,Morrorico,HURTO A PERSONAS,1.0
184,2023,4,Domingo de Ramos,Centro,LESIONES PERSONALES,2.0
185,2023,4,Domingo de Ramos,Lagos del Cacique,HURTO A PERSONAS,1.0
186,2023,4,Domingo de Ramos,Mutis,HURTO A PERSONAS,1.0
187,2023,4,Domingo,Norte,VIOLENCIA INTRAFAMILIAR,3.6666666666666665
188,2023,4,Domingo,Nor Oriental,LESIONES PERSONALES,1.0
189,2023,4,Domingo,San Francisco,HURTO A ENTIDADES COMERCIALES,2.8
190,2023,4,Domingo,Occidental,LESIONES PERSONALES,3.5
191,2023,4,Domingo,García Rovira,LESIONES PERSONALES,2.5
